loading...
preprocessing...
Gram Size before hashing :  376060
Gram Size after hashing :  344293
build training set...
Vocabulary size
71291

# of training samples
167188440

Time Elapsed for Subsampling 00:01:02

Training Set before Subsampling : 167188440
Number of discard : 40776220
Training Set after Subsampling : 126412220
Loss : 2.882884
Loss : 2.826526
Loss : 2.644187
Loss : 2.882051
Loss : 2.799434
Loss : 2.722956
Loss : 2.735707
Loss : 2.715524
Loss : 2.813952
Loss : 2.796172
Loss : 2.591653
Loss : 2.536584
Loss : 2.692214
Loss : 2.798488
Loss : 2.832145
Loss : 2.773412
Loss : 2.890541
Loss : 2.778006
Loss : 2.829092
Loss : 2.844962
Loss : 2.883875
Loss : 2.676768
Loss : 2.820648
Loss : 2.800181
Loss : 2.801629
Loss : 2.787484
Loss : 2.922517
Loss : 2.834688
Loss : 2.699344
Loss : 2.709668
Loss : 2.854679
Loss : 2.800755
Loss : 2.700526
Loss : 2.657530
Loss : 2.864410
Loss : 2.709492
Loss : 2.681358
Loss : 2.739906
Loss : 2.782613
Loss : 2.677538
Loss : 2.794145
Loss : 2.780514
Loss : 2.800394
Loss : 2.784272
Loss : 2.705566
Loss : 2.583939
Loss : 2.873949
Loss : 2.770973
Loss : 2.731801
Loss : 2.814667
Loss : 2.728381
Loss : 2.653015
Loss : 2.675116
Loss : 2.605494
Loss : 2.467334
Loss : 2.590200
Loss : 2.571300
Loss : 2.430987
Loss : 2.555460
Loss : 2.406800
Loss : 2.823702
Loss : 2.825475
Loss : 2.812126
Loss : 2.789693
Loss : 2.811991
Loss : 2.862190
Loss : 2.816185
Loss : 2.661370
Loss : 2.848233
Loss : 2.788380
Loss : 2.811439
Loss : 2.784290
Loss : 2.762913
Loss : 2.659336
Loss : 2.940409
Loss : 2.731685
Loss : 2.531761
Loss : 2.879462
Loss : 2.901497
Loss : 2.825824
Loss : 2.551432
Loss : 2.627429
Loss : 2.528297
Loss : 2.855762
Loss : 2.778113
Loss : 2.186798
Loss : 2.646402
Loss : 2.670829
Loss : 2.648738
Loss : 2.580243
Loss : 2.775520
Loss : 2.805297
Loss : 2.719629
Loss : 2.748555
Loss : 2.864300
Loss : 2.754974
Loss : 2.730578
Loss : 2.722791
Loss : 2.631566
Loss : 2.685744
Loss : 2.636922
Loss : 2.723304
Loss : 2.795237
Loss : 2.654053
Loss : 2.862359
Loss : 2.803091
Loss : 2.794470
Loss : 2.785174
Loss : 2.376074
Loss : 2.545804
Loss : 2.916025
Loss : 2.887413
Loss : 2.727175
Loss : 2.632453
Loss : 2.858816
Loss : 2.920609
Loss : 2.825410
Loss : 2.759905
Loss : 2.755486
Loss : 2.761544
Loss : 2.743089
Loss : 2.696215
Loss : 2.857628
Loss : 2.773401
Loss : 2.560223
Loss : 2.893374
Loss : 2.830802
Loss : 2.780771
Loss : 2.724738
Loss : 2.590089
Loss : 2.805794
Loss : 2.908105
Loss : 2.770016
Loss : 2.744438
Loss : 2.890572
Loss : 2.812615
Loss : 2.669367
Loss : 2.856289
Loss : 2.815038
Loss : 2.739423
Loss : 2.871772
Loss : 2.659494
Loss : 2.824202
Loss : 2.835240
Loss : 2.848726
Loss : 2.818426
Loss : 2.828831
Loss : 2.815111
Loss : 2.718808
Loss : 2.653822
Loss : 2.841726
Loss : 2.901534
Loss : 2.465748
Loss : 2.646519
Loss : 2.769160
Loss : 2.631537
Loss : 2.767820
Loss : 2.810678
Loss : 2.733746
Loss : 2.595712
Loss : 2.844987
Loss : 2.791841
Loss : 2.832861
Loss : 2.902499
Loss : 2.649536
Loss : 2.761023
Loss : 2.584483
Loss : 2.547427
Loss : 2.586745
Loss : 2.456680
Loss : 2.697491
Loss : 2.685399
Loss : 2.757995
Loss : 2.885116
Loss : 2.709656
Loss : 2.834083
Loss : 2.760102
Loss : 2.800476
Loss : 2.762319
Loss : 2.889755
Loss : 2.657325
Loss : 2.638114
Loss : 2.938248
Loss : 2.865125
Loss : 2.633452
Loss : 2.663870
Loss : 2.587662
Loss : 2.878344
Loss : 2.831802
Loss : 2.865272
Loss : 2.897282
Loss : 2.926980
Loss : 2.727753
Loss : 2.670883
Loss : 2.669616
Loss : 2.713684
Loss : 2.844045
Loss : 2.961978
Loss : 2.873076
Loss : 2.802614
Loss : 2.925881
Loss : 2.920594
Loss : 2.698919
Loss : 2.802555
Loss : 2.801314
Loss : 2.710610
Loss : 2.891168
Loss : 2.940524
Loss : 2.663690
Loss : 2.787554
Loss : 2.785268
Loss : 2.853696
Loss : 2.652415
Loss : 2.703643
Loss : 2.820937
Loss : 2.786421
Loss : 2.617693
Loss : 2.768505
Loss : 2.909488
Loss : 2.818183
Loss : 2.772315
Loss : 2.899402
Loss : 2.840044
Loss : 2.901160
Loss : 2.919802
Loss : 2.826338
Loss : 2.862171
Loss : 2.936203
Loss : 2.943642
Loss : 2.786837
Loss : 2.926343
Loss : 2.823630
Loss : 2.836118
Loss : 2.735705
Loss : 2.877690
Loss : 2.701140
Loss : 2.821824
Loss : 2.885167
Loss : 2.993381
Loss : 2.815939
Loss : 2.867917
Loss : 2.911245
Loss : 2.996699
Loss : 2.752150
Loss : 2.888726
Loss : 2.819714
Loss : 2.602163
Loss : 2.925366
Loss : 2.954378
Loss : 2.912606
Loss : 2.677750
Loss : 2.825526
Loss : 2.830108
Loss : 2.836651
Loss : 2.739193
Loss : 2.898147
Loss : 2.853490
Loss : 2.858006
Loss : 2.807178
Loss : 2.803472
Loss : 2.622219
Loss : 2.683413
Loss : 2.840695
Loss : 2.898886
Loss : 2.674688
Loss : 2.894774
Loss : 2.817730
Loss : 2.830339
Loss : 2.929337
Loss : 2.803947
Loss : 2.770828
Loss : 2.844305
Loss : 2.789022
Loss : 2.764712
Loss : 2.809451
Loss : 2.858153
Loss : 2.680203
Loss : 2.670290
Loss : 2.860226
Loss : 2.895649
Loss : 2.834217
Loss : 2.670459
Loss : 2.820059
Loss : 2.846821
Loss : 2.844454
Loss : 2.547412
Loss : 2.532311
Loss : 2.847901
Loss : 2.835364
Loss : 2.790223
Loss : 2.810559
Loss : 2.578406
Loss : 2.963025
Loss : 2.826123
Loss : 2.887442
Loss : 2.614204
Loss : 2.629962
Loss : 2.772219
Loss : 2.865492
Loss : 2.667695
Loss : 2.799489
Loss : 2.731454
Loss : 2.544494
Loss : 2.677252
Loss : 2.514147
Loss : 2.807510
Loss : 2.771993
Loss : 2.563106
Loss : 2.850054
Loss : 2.802286
Loss : 2.628087
Loss : 2.615949
Loss : 2.672945
Loss : 2.650503
Loss : 2.572684
Loss : 2.935458
Loss : 2.773466
Loss : 2.758995
Loss : 2.803461
Loss : 2.456840
Loss : 2.826768
Loss : 2.925889
Loss : 2.861104
Loss : 2.873508
Loss : 2.793579
Loss : 2.970248
Loss : 2.920425
Loss : 3.017018
Loss : 3.071816
Loss : 2.764122
Loss : 2.798665
Loss : 2.666380
Loss : 2.748583
Loss : 2.676449
Loss : 2.755258
Loss : 2.742922
Loss : 2.828302
Loss : 2.913758
Loss : 2.999300
Loss : 2.948079
Loss : 2.912587
Loss : 2.858886
Loss : 2.864004
Loss : 2.780233
Loss : 2.852262
Loss : 2.747629
Loss : 2.739320
Loss : 2.801394
Loss : 2.815732
Loss : 2.883312
Loss : 2.786056
Loss : 2.792813
Loss : 2.911099
Loss : 2.802991
Loss : 2.814321
Loss : 2.747775
Loss : 2.852797
Loss : 2.695731
Loss : 2.922254
Loss : 2.744216
Loss : 2.823548
Loss : 2.843532
Loss : 2.662330
Loss : 2.905037
Loss : 2.961613
Loss : 2.877315
Loss : 2.917971
Loss : 2.927067
Loss : 2.809806
Loss : 2.779182
Loss : 2.869150
Loss : 2.855953
Loss : 2.765807
Loss : 2.804929
Loss : 2.752974
Loss : 2.894652
Loss : 2.781838
Loss : 2.870934
Loss : 2.747785
Loss : 2.899242
Loss : 2.788949
Loss : 2.887313
Loss : 2.909667
Loss : 2.857552
Loss : 2.815966
Loss : 2.788615
Loss : 2.785097
Loss : 2.801940
Loss : 2.698605
Loss : 2.875175
Loss : 2.593913
Loss : 2.585110
Loss : 2.678662
Loss : 2.836205
Loss : 2.770358
Loss : 2.913195
Loss : 2.780084
Loss : 2.759505
Loss : 2.771225
Loss : 2.965688
Loss : 2.912741
Loss : 2.891627
Loss : 2.757918
Loss : 2.814847
Loss : 2.528462
Loss : 2.945881
Loss : 2.958541
Loss : 2.626407
Loss : 2.701341
Loss : 2.909196
Loss : 2.916824
Loss : 2.796209
Loss : 2.721595
Loss : 3.007189
Loss : 2.904891
Loss : 2.914355
Loss : 2.848965
Loss : 2.877027
Loss : 2.983983
Loss : 2.962331
Loss : 2.879622
Loss : 2.869279
Loss : 2.772065
Loss : 2.928433
Loss : 2.914887
Loss : 2.967494
Loss : 2.940929
Loss : 2.933247
Loss : 2.975973
Loss : 2.656176
Loss : 2.226292
Loss : 2.810776
Loss : 2.760109
Loss : 2.734877
Loss : 3.000738
Loss : 2.978012
Loss : 2.906757
Loss : 2.876073
Loss : 2.923990
Loss : 2.250145
Loss : 1.782283
Loss : 1.757242
Loss : 2.939921
Loss : 2.825007
Loss : 2.875893
Loss : 3.011145
Loss : 2.898989
Loss : 2.912714
Loss : 2.823902
Loss : 2.871587
Loss : 2.616823
Loss : 2.916845
Loss : 2.901054
Loss : 2.862890
Loss : 2.787451
Loss : 2.576279
Loss : 2.431803
Loss : 2.947346
Loss : 2.779885
Loss : 2.871453
Loss : 2.791248
Loss : 2.860469
Loss : 2.639245
Loss : 2.690618
Loss : 2.856258
Loss : 2.949377
Loss : 2.873293
Loss : 2.885338
Loss : 2.845237
Loss : 2.907330
Loss : 2.894683
Loss : 2.961815
Loss : 2.762051
Loss : 2.607768
Loss : 2.846705
Loss : 2.715492
Loss : 2.898557
Loss : 2.821182
Loss : 2.935991
Loss : 2.886080
Loss : 2.914735
Loss : 2.818085
Loss : 2.867928
Loss : 2.845876
Loss : 2.826804
Loss : 2.947777
Loss : 2.851399
Loss : 2.980546
Loss : 2.785963
Loss : 3.037891
Loss : 3.026618
Loss : 2.966698
Loss : 2.903017
Loss : 2.857570
Loss : 2.910823
Loss : 3.025174
Loss : 2.980399
Loss : 2.911325
Loss : 2.852224
Loss : 2.956854
Loss : 3.043572
Loss : 2.989588
Loss : 2.873735
Loss : 2.982738
Loss : 2.667085
Loss : 2.655693
Loss : 2.997635
Loss : 3.038652
Loss : 2.918634
Loss : 3.026821
Loss : 2.895417
Loss : 2.893171
Loss : 2.769760
Loss : 2.962202
Loss : 2.860244
Loss : 2.789958
Loss : 2.825690
Loss : 2.944456
Loss : 3.059114
Loss : 2.886720
Loss : 2.769472
Loss : 2.911786
Loss : 2.887933
Loss : 2.864685
Loss : 2.814734
Loss : 2.953326
Loss : 2.888670
Loss : 2.978283
Loss : 2.953731
Loss : 2.857800
Loss : 2.955738
Loss : 2.952518
Loss : 2.955692
Loss : 2.950503
Loss : 2.983735
Loss : 2.915784
Loss : 2.893117
Loss : 2.990303
Loss : 3.018127
Loss : 2.955246
Loss : 2.927940
Loss : 2.894088
Loss : 2.820616
Loss : 2.881288
Loss : 2.892043
Loss : 2.631092
Loss : 2.973394
Loss : 2.945266
Loss : 2.947190
Loss : 2.856430
Loss : 2.905820
Loss : 2.983366
Loss : 2.812309
Loss : 2.800521
Loss : 2.934650
Loss : 2.892193
Loss : 2.891895
Loss : 2.773453
Loss : 2.725283
Loss : 2.790797
Loss : 2.920736
Loss : 2.913382
Loss : 2.627371
Loss : 2.958535
Loss : 2.868657
Loss : 2.944527
Loss : 2.886528
Loss : 2.829425
Loss : 2.932558
Loss : 2.733432
Loss : 2.916917
Loss : 2.836399
Loss : 2.941424
Loss : 2.849771
Loss : 2.958634
Loss : 2.906377
Loss : 2.840298
Loss : 3.032600
Loss : 2.848033
Loss : 2.895139
Loss : 2.948250
Loss : 2.930729
Loss : 2.446141
Loss : 2.926139
Loss : 2.776669
Loss : 2.906868
Loss : 2.902475
Loss : 2.949347
Loss : 3.025734
Loss : 2.956878
Loss : 2.903342
Loss : 3.006786
Loss : 2.984835
Loss : 2.890125
Loss : 2.873870
Loss : 2.868463
Loss : 2.821822
Loss : 2.902646
Loss : 2.852401
Loss : 2.806976
Loss : 2.896637
Loss : 2.871797
Loss : 2.895827
Loss : 2.964760
Loss : 2.936345
Loss : 2.930841
Loss : 3.044242
Loss : 2.844795
Loss : 2.853387
Loss : 2.815119
Loss : 3.004730
Loss : 2.817613
Loss : 2.655043
Loss : 2.881741
Loss : 2.949178
Loss : 2.942700
Loss : 2.745642
Loss : 2.744214
Loss : 2.826042
Loss : 2.617334
Loss : 2.713180
Loss : 2.879253
Loss : 2.739534
Loss : 3.014315
Loss : 2.888076
Loss : 2.842282
Loss : 2.931599
Loss : 2.909454
Loss : 2.621369
Loss : 3.032519
Loss : 2.978616
Loss : 2.921723
Loss : 2.724058
Loss : 3.070899
Loss : 2.940128
Loss : 3.029437
Loss : 2.898016
Loss : 2.927904
Loss : 2.939816
Loss : 2.991082
Loss : 2.818591
Loss : 2.943469
Loss : 2.865887
Loss : 2.897680
Loss : 2.877340
Loss : 3.052188
Loss : 2.915490
Loss : 2.858622
Loss : 2.771667
Loss : 2.732467
Loss : 2.850196
Loss : 2.890517
Loss : 3.002453
Loss : 2.408773
Loss : 2.968563
Loss : 2.927021
Loss : 2.821482
Loss : 2.872684
Loss : 2.785013
Loss : 2.853692
Loss : 2.832458
Loss : 2.666281
Loss : 2.577904
Loss : 2.858098
Loss : 2.808414
Loss : 2.891312
Loss : 2.840092
Loss : 2.905013
Loss : 2.758180
Loss : 2.892079
Loss : 2.893501
Loss : 2.604103
Loss : 3.032864
Loss : 2.962332
Loss : 2.783799
Loss : 2.859792
Loss : 2.855535
Loss : 2.928830
Loss : 2.905538
Loss : 3.016655
Loss : 2.916479
Loss : 2.924857
Loss : 2.898077
Loss : 2.968817
Loss : 3.000777
Loss : 2.793472
Loss : 2.960902
Loss : 2.922243
Loss : 2.869836
Loss : 2.914038
Loss : 2.879615
Loss : 2.857632
Loss : 2.966835
Loss : 2.897954
Loss : 2.863386
Loss : 2.720136
Loss : 2.993040
Loss : 2.958866
Loss : 3.026206
Loss : 2.752518
Loss : 2.807332
Loss : 2.533350
Loss : 2.998573
Loss : 2.957504
Loss : 2.858747
Loss : 2.934687
Loss : 2.919564
Loss : 2.853528
Loss : 2.978153
Loss : 2.971358
Loss : 3.044510
Loss : 3.103277
Loss : 2.981877
Loss : 2.715908
Loss : 2.867412
Loss : 2.931637
Loss : 2.921394
Loss : 2.901986
Loss : 2.996617
Loss : 2.955604
Loss : 2.998412
Loss : 2.951291
Loss : 2.798335
Loss : 3.016810
Loss : 2.641405
Loss : 2.858369
Loss : 2.967224
Loss : 2.950250
Loss : 2.974646
Loss : 2.945625
Loss : 2.977866
Loss : 2.640780
Loss : 2.890530
Loss : 2.938748
Loss : 2.920286
Loss : 2.787275
Loss : 2.905005
Loss : 2.954073
Loss : 2.920049
Loss : 2.862039
Loss : 2.946361
Loss : 2.951097
Loss : 3.062549
Loss : 2.843660
Loss : 3.020825
Loss : 3.019056
Loss : 2.861282
Loss : 2.819588
Loss : 3.001223
Loss : 3.048107
Loss : 2.977075
Loss : 2.996599
Loss : 3.090257
Loss : 2.950481
Loss : 2.712186
Loss : 2.887450
Loss : 3.077469
Loss : 2.966241
Loss : 2.997686
Loss : 2.973856
Loss : 2.967833
Loss : 2.882574
Loss : 2.900587
Loss : 2.899923
Loss : 2.942394
Loss : 2.983867
Loss : 2.805145
Loss : 2.854055
Loss : 2.760694
Loss : 2.910390
Loss : 2.851961
Loss : 2.931159
Loss : 2.769950
Loss : 2.691024
Loss : 2.756749
Loss : 2.858026
Loss : 2.923408
Loss : 3.009809
Loss : 2.926929
Loss : 2.918496
Loss : 2.940645
Loss : 2.941699
Loss : 2.882145
Loss : 2.953722
Loss : 3.035635
Loss : 2.800169
Loss : 2.826255
Loss : 2.706753
Loss : 2.658900
Loss : 2.815339
Loss : 2.707057
Loss : 2.744649
Loss : 2.756657
Loss : 2.669029
Loss : 2.682907
Loss : 2.899143
Loss : 2.809007
Loss : 2.941930
Loss : 3.050676
Loss : 3.035352
Loss : 2.998776
Loss : 2.991515
Loss : 2.813549
Loss : 2.872562
Loss : 3.016554
Loss : 2.782760
Loss : 2.986522
Loss : 2.989083
Loss : 2.916237
Loss : 2.963673
Loss : 2.891629
Loss : 3.079370
Loss : 2.970311
Loss : 2.795779
Loss : 3.049032
Loss : 2.835184
Loss : 2.593520
Loss : 2.996026
Loss : 2.920221
Loss : 2.589039
Loss : 2.905171
Loss : 2.761439
Loss : 2.831415
Loss : 2.929156
Loss : 2.975991
Loss : 2.706827
Loss : 2.850385
Loss : 2.839995
Loss : 2.988052
Loss : 2.947767
Loss : 2.870559
Loss : 3.001780
Loss : 2.791118
Loss : 2.957396
Loss : 2.479023
Loss : 3.039257
Loss : 2.844461
Loss : 2.721449
Loss : 3.043630
Loss : 2.911744
Loss : 3.048171
Loss : 2.890361
Loss : 2.798737
Loss : 2.746871
Loss : 3.014891
Loss : 3.013103
Loss : 2.995837
Loss : 2.984685
Loss : 3.003298
Loss : 2.947879
Loss : 2.975495
Loss : 2.894060
Loss : 2.856095
Loss : 2.746559
Loss : 2.954649
Loss : 2.977040
Loss : 2.874859
Loss : 3.072485
Loss : 2.962889
Loss : 2.792984
Loss : 3.068352
Loss : 2.905890
Loss : 2.981989
Loss : 2.862919
Loss : 2.834287
Loss : 3.057628
Loss : 2.867609
Loss : 2.978523
Loss : 2.975613
Loss : 3.061743
Loss : 3.032320
Loss : 2.967729
Loss : 2.697231
Loss : 3.027129
Loss : 2.972970
Loss : 3.016486
Loss : 2.931055
Loss : 2.894343
Loss : 2.907956
Loss : 2.988889
Loss : 2.844496
Loss : 2.893206
Loss : 2.886656
Loss : 2.974916
Loss : 2.823735
Loss : 2.900670
Loss : 3.030416
Loss : 2.931671
Loss : 2.892086
Loss : 3.001580
Loss : 2.875109
Loss : 2.779127
Loss : 2.688494
Loss : 3.016254
Loss : 2.752010
Loss : 3.008236
Loss : 3.063262
Loss : 2.983440
Loss : 2.828024
Loss : 3.013080
Loss : 2.862470
Loss : 2.821789
Loss : 3.017240
Loss : 2.801159
Loss : 3.065376
Loss : 2.907844
Loss : 2.986571
Loss : 2.975253
Loss : 2.870149
Loss : 2.939306
Loss : 2.884906
Loss : 2.864905
Loss : 2.917637
Loss : 2.957294
Loss : 2.840552
Loss : 2.908043
Loss : 2.563597
Loss : 2.355247
Loss : 3.008731
Loss : 2.823252
Loss : 3.043037
Loss : 2.951145
Loss : 3.006179
Loss : 2.864291
Loss : 2.823143
Loss : 2.980217
Loss : 2.997555
Loss : 2.953388
Loss : 2.892677
Loss : 2.675765
Loss : 2.572678
Loss : 3.015916
Loss : 2.919734
Loss : 2.859345
Loss : 3.045740
Loss : 2.873773
Loss : 2.913352
Loss : 3.027059
Loss : 2.816018
Loss : 2.830299
Loss : 2.816773
Loss : 2.966500
Loss : 2.746182
Loss : 2.818779
Loss : 2.732953
Loss : 2.898752
Loss : 2.563963
Loss : 2.816815
Loss : 3.018935
Loss : 3.077257
Loss : 2.870554
Loss : 2.956483
Loss : 2.901357
Loss : 2.797346
Loss : 2.922001
Loss : 2.848874
Loss : 2.859743
Loss : 3.013363
Loss : 2.891330
Loss : 2.946916
Loss : 2.830202
Loss : 2.962702
Loss : 2.915779
Loss : 2.998594
Loss : 2.946926
Loss : 2.984193
Loss : 2.825759
Loss : 2.961527
Loss : 2.783026
Loss : 2.831194
Loss : 2.820770
Loss : 2.855067
Loss : 2.910520
Loss : 2.716925
Loss : 2.944159
Loss : 2.810337
Loss : 2.962248
Loss : 2.959695
Loss : 2.858183
Loss : 2.852445
Loss : 3.052291
Loss : 2.738016
Loss : 2.763862
Loss : 2.841346
Loss : 2.956232
Loss : 2.811670
Loss : 2.548903
Loss : 2.783491
Loss : 2.780918
Loss : 3.021196
Loss : 3.017763
Loss : 2.875699
Loss : 3.031490
Loss : 3.053772
Loss : 2.947619
Loss : 2.867242
Loss : 2.960998
Loss : 3.053627
Loss : 2.926760
Loss : 2.936678
Loss : 2.920339
Loss : 2.911008
Loss : 2.623036
Loss : 3.017534
Loss : 2.726916
Loss : 2.874249
Loss : 2.809837
Loss : 3.032420
Loss : 2.962686
Loss : 2.779576
Loss : 2.882610
Loss : 2.946593
Loss : 2.866586
Loss : 2.889477
Loss : 2.791286
Loss : 3.028217
Loss : 2.993884
Loss : 2.836740
Loss : 3.068947
Loss : 2.843760
Loss : 2.865425
Loss : 2.950945
Loss : 3.002759
Loss : 2.943667
Loss : 2.894981
Loss : 3.019622
Loss : 3.011333
Loss : 2.987293
Loss : 2.610561
Loss : 2.986387
Loss : 2.849049
Loss : 2.699036
Loss : 2.760861
Loss : 2.281642
Loss : 1.881553
Loss : 2.452550
Loss : 3.015926
Loss : 2.733692
Loss : 2.621668
Loss : 2.866332
Loss : 2.674066
Loss : 3.012111
Loss : 3.027125
Loss : 2.910305
Loss : 2.994412
Loss : 2.980036
Loss : 2.827657
Loss : 2.822631
Loss : 2.933695
Loss : 2.922605
Loss : 2.957333
Loss : 3.052315
Loss : 2.999117
Loss : 2.894522
Loss : 2.977658
Loss : 3.157802
Loss : 3.052986
Loss : 2.984883
Loss : 2.852592
Loss : 3.035151
Loss : 2.976582
Loss : 3.034966
Loss : 2.703597
Loss : 2.855826
Loss : 3.040119
Loss : 2.910489
Loss : 3.093726
Loss : 2.861033
