loading...
preprocessing...
build training set...
Vocabulary size
71291

# of training samples
167188440

Time Elapsed for SubSampling 00:01:02

Training Set before Subsampling : 167188440
Number of discard : 50167924
Training Set after Subsampling : 117020516
Loss : 13.816734
Loss : 11.514884
Loss : 10.425360
Loss : 9.010559
Loss : 8.112947
Loss : 7.538021
Loss : 7.053753
Loss : 7.031289
Loss : 6.022617
Loss : 5.990273
Loss : 5.848597
Loss : 5.771506
Loss : 5.846588
Loss : 5.530156
Loss : 5.410670
Loss : 5.411056
Loss : 4.917753
Loss : 5.158650
Loss : 4.961436
Loss : 4.944686
Loss : 5.014307
Loss : 4.752668
Loss : 4.829558
Loss : 4.562273
Loss : 4.567358
Loss : 4.392420
Loss : 4.603159
Loss : 4.262490
Loss : 4.544371
Loss : 4.506262
Loss : 4.222511
Loss : 4.288079
Loss : 4.731318
Loss : 4.401568
Loss : 4.348916
Loss : 4.152606
Loss : 4.217485
Loss : 4.110907
Loss : 4.114226
Loss : 4.214562
Loss : 3.987339
Loss : 3.973533
Loss : 3.538317
Loss : 3.890656
Loss : 4.149474
Loss : 4.076529
Loss : 4.064941
Loss : 4.180907
Loss : 4.210060
Loss : 3.999501
Loss : 4.162371
Loss : 4.192655
Loss : 3.928397
Loss : 4.096904
Loss : 3.978622
Loss : 3.915838
Loss : 3.676586
Loss : 4.016773
Loss : 3.936722
Loss : 3.981686
Loss : 3.821274
Loss : 3.837069
Loss : 3.843902
Loss : 3.694348
Loss : 3.574537
Loss : 3.871719
Loss : 3.780867
Loss : 3.895510
Loss : 3.909677
Loss : 3.852227
Loss : 3.995608
Loss : 3.822599
Loss : 3.667495
Loss : 3.746300
Loss : 4.021715
Loss : 3.719618
Loss : 3.835778
Loss : 3.702127
Loss : 3.632756
Loss : 3.646681
Loss : 3.782722
Loss : 3.940710
Loss : 3.853611
Loss : 3.684756
Loss : 3.549529
Loss : 3.738956
Loss : 3.629800
Loss : 3.841238
Loss : 3.643319
Loss : 3.760241
Loss : 3.751097
Loss : 3.661857
Loss : 3.769652
Loss : 3.808834
Loss : 3.645406
Loss : 3.669334
Loss : 3.626330
Loss : 3.607053
Loss : 3.618088
Loss : 3.695513
Loss : 3.668175
Loss : 3.608923
Loss : 3.684892
Loss : 3.600795
Loss : 3.599981
Loss : 3.368243
Loss : 3.813030
Loss : 3.488501
Loss : 3.643641
Loss : 3.587652
Loss : 3.550585
Loss : 3.778339
Loss : 3.492930
Loss : 3.767443
Loss : 3.698055
Loss : 3.648561
Loss : 3.606069
Loss : 3.745705
Loss : 3.542316
Loss : 3.517101
Loss : 3.560934
Loss : 3.538129
Loss : 3.633587
Loss : 3.655001
Loss : 3.418894
Loss : 3.351286
Loss : 3.672914
Loss : 3.409824
Loss : 3.351658
Loss : 3.379155
Loss : 3.744010
Loss : 3.654097
Loss : 3.495432
Loss : 3.676997
Loss : 3.572575
Loss : 3.619534
Loss : 3.488406
Loss : 3.343208
Loss : 3.426137
Loss : 3.411184
Loss : 3.325442
Loss : 3.409159
Loss : 3.478790
Loss : 3.646027
Loss : 3.334512
Loss : 3.299658
Loss : 3.500159
Loss : 3.403896
Loss : 3.460575
Loss : 3.492544
Loss : 3.496260
Loss : 3.510726
Loss : 3.490035
Loss : 3.273780
Loss : 3.380370
Loss : 3.546104
Loss : 3.438456
Loss : 3.548766
Loss : 3.555794
Loss : 3.389363
Loss : 3.686662
Loss : 3.426139
Loss : 3.348973
Loss : 3.578413
Loss : 3.568158
Loss : 3.491275
Loss : 3.472104
Loss : 3.654557
Loss : 3.462138
Loss : 3.575183
Loss : 3.490972
Loss : 3.447039
Loss : 3.631053
Loss : 3.512962
Loss : 3.423171
Loss : 3.208072
Loss : 3.136208
Loss : 3.436284
Loss : 3.499815
Loss : 3.467199
Loss : 3.409012
Loss : 3.462891
Loss : 3.309120
Loss : 3.323288
Loss : 3.532272
Loss : 3.460136
Loss : 3.405313
Loss : 3.322004
Loss : 3.227477
Loss : 3.387647
Loss : 3.576149
Loss : 3.417194
Loss : 3.507687
Loss : 3.341151
Loss : 3.265604
Loss : 3.224367
Loss : 3.493081
Loss : 3.465529
Loss : 3.383604
Loss : 3.349499
Loss : 3.618075
Loss : 3.387177
Loss : 3.405584
Loss : 3.462380
Loss : 3.484846
Loss : 3.382812
Loss : 3.355622
Loss : 3.442791
Loss : 3.350402
Loss : 3.489067
Loss : 3.478167
Loss : 3.439153
Loss : 3.487918
Loss : 3.621643
Loss : 3.346495
Loss : 3.489003
Loss : 3.342619
Loss : 3.509622
Loss : 3.231014
Loss : 3.438487
Loss : 3.477152
Loss : 3.462401
Loss : 3.401190
Loss : 3.349448
Loss : 3.470378
Loss : 3.337871
Loss : 3.511772
Loss : 3.435087
Loss : 3.456923
Loss : 3.346335
Loss : 3.350204
Loss : 3.385032
Loss : 3.226688
Loss : 3.510695
Loss : 3.554251
Loss : 3.441838
Loss : 3.500020
Loss : 3.403899
Loss : 3.482477
Loss : 3.573510
Loss : 3.491204
Loss : 3.465736
Loss : 3.304589
Loss : 3.501169
Loss : 3.324584
Loss : 3.554865
Loss : 3.386582
Loss : 3.337706
Loss : 3.397713
Loss : 2.977398
Loss : 3.381720
Loss : 3.378219
Loss : 3.392358
Loss : 3.376563
Loss : 3.478825
Loss : 3.252373
Loss : 3.445228
Loss : 3.410868
Loss : 3.323980
Loss : 3.380942
Loss : 3.441045
Loss : 3.332849
Loss : 3.315630
Loss : 3.469781
Loss : 3.443590
Loss : 3.551598
Loss : 3.432850
Loss : 3.380176
Loss : 3.565522
Loss : 3.359443
Loss : 3.549587
Loss : 3.537760
Loss : 3.223038
Loss : 3.270739
Loss : 3.492276
Loss : 3.377976
Loss : 3.260936
Loss : 3.431980
Loss : 3.413224
Loss : 3.503399
Loss : 3.593961
Loss : 3.390344
