loading...
preprocessing...
build training set...
Vocabulary size
71291

# of training samples
16718844

Loss : 6.811614
Loss : 7.038982
Loss : 7.013936
Loss : 6.885799
Loss : 6.880442
Loss : 6.738284
Loss : 6.735451
Loss : 6.822424
Loss : 6.520303
Loss : 6.836409
Loss : 6.577778
Loss : 6.996439
Loss : 6.690596
Loss : 6.964157
Loss : 6.898345
Loss : 6.978063
Loss : 7.103809
Loss : 7.011294
Loss : 6.916980
Loss : 6.914118
Loss : 6.828755
Loss : 6.873603
Loss : 6.786979
Loss : 6.892609
Loss : 6.767072
Loss : 6.973646
Loss : 6.956373
Loss : 6.820397
Loss : 6.855045
Loss : 6.584694
Loss : 6.689764
Loss : 6.871148
Loss : 6.658242
Loss : 6.881581
Loss : 6.855895
Loss : 6.801436
Loss : 6.437261
Loss : 6.823923
Loss : 6.427632
Loss : 6.666780
Loss : 6.621458
Loss : 6.740736
Loss : 6.928281
Loss : 6.792617
Loss : 6.712914
Loss : 6.721551
Loss : 6.783509
Loss : 6.755544
Loss : 6.833408
Loss : 6.874678
Loss : 6.718666
Loss : 6.766508
Loss : 6.988629
Loss : 6.841037
Loss : 6.679302
Loss : 6.803326
Loss : 6.895446
Loss : 6.949605
Loss : 6.942955
Loss : 6.761514
Loss : 6.773844
Loss : 6.886332
Loss : 6.845801
Loss : 6.895907
Loss : 7.049770
Loss : 6.673673
Loss : 6.429687
Loss : 6.825804
Loss : 6.834271
Loss : 6.897917
Loss : 6.695569
Loss : 6.920679
Loss : 6.626806
Loss : 6.800199
Loss : 6.880694
Loss : 6.871260
Loss : 6.817760
Loss : 6.920600
Loss : 6.849774
Loss : 6.715306
Loss : 6.847123
Loss : 6.660764
Loss : 6.967953
Loss : 6.601552
Loss : 6.884566
Loss : 6.951081
Loss : 6.819500
Loss : 6.794189
Loss : 6.946621
Loss : 6.840673
Loss : 6.817330
Loss : 6.857573
Loss : 6.746451
Loss : 6.678974
Loss : 6.944087
Loss : 6.908036
Loss : 6.832953
Loss : 6.919829
Loss : 6.781621
Loss : 6.573003
Loss : 6.569001
Loss : 6.721922
Loss : 7.006615
Loss : 6.910112
Loss : 6.888280
Loss : 6.794348
Loss : 6.699904
Loss : 7.028873
Loss : 6.705635
Loss : 6.890673
Loss : 6.885807
Loss : 6.858564
Loss : 6.670399
Loss : 6.818276
Loss : 6.934618
Loss : 6.850230
Loss : 6.920462
Loss : 6.916606
Loss : 6.841712
Loss : 6.937196
Loss : 6.795855
Loss : 6.948687
Loss : 6.907828
Loss : 6.956337
Loss : 6.851524
Loss : 6.942641
Loss : 6.936330
Loss : 6.970662
Loss : 6.862636
Loss : 6.888252
Loss : 6.832474
Loss : 6.836966
Loss : 6.784827
Loss : 6.811358
Loss : 6.842317
Loss : 6.838663
Loss : 6.906300
Loss : 6.957465
Loss : 6.915172
Loss : 6.862030
Loss : 6.462657
Loss : 6.870943
Loss : 6.812037
Loss : 6.710260
Loss : 6.879852
Loss : 6.790634
Loss : 6.439991
Loss : 6.802237
Loss : 6.831599
Loss : 6.832352
Loss : 6.902854
Loss : 6.830868
Loss : 6.803474
Loss : 6.742000
Loss : 6.851695
Loss : 6.718936
Loss : 6.817999
Loss : 6.982654
Loss : 6.938756
Loss : 6.766953
Loss : 6.754958
Loss : 6.785647
Loss : 6.633425
Loss : 6.485368
Loss : 6.803189
Loss : 6.824578
Loss : 6.786346
Loss : 6.847413
Loss : 6.700401
Loss : 6.792637
Loss : 6.906517
Loss : 6.694914
Loss : 6.793530
Loss : 6.935484
Loss : 6.884123
Loss : 6.646206
Loss : 6.805061
Loss : 6.775529
Loss : 6.863075
Loss : 6.833548
Loss : 6.852435
Loss : 6.587969
Loss : 6.974599
Loss : 6.600593
Loss : 6.861692
Loss : 6.849806
Loss : 6.790890
Loss : 6.823342
Loss : 6.461331
Loss : 6.689939
Loss : 6.710852
Loss : 6.654734
Loss : 6.661946
Loss : 6.890061
Loss : 6.848441
Loss : 7.341363
Loss : 6.781681
Loss : 6.787634
Loss : 6.839454
Loss : 6.842262
Loss : 6.864063
Loss : 6.709993
Loss : 6.848065
Loss : 6.716537
Loss : 6.710412
Loss : 6.874692
Loss : 6.517903
Loss : 6.507796
Loss : 6.694389
Loss : 6.792455
Loss : 6.674408
Loss : 6.798696
Loss : 6.813250
Loss : 6.748482
Loss : 6.835579
Loss : 6.881147
Loss : 6.871398
Loss : 6.808413
Loss : 6.740198
Loss : 6.874324
Loss : 6.857133
Loss : 6.892275
Loss : 6.776218
Loss : 6.718631
Loss : 6.576720
Loss : 6.677683
Loss : 6.666773
Loss : 6.760128
Loss : 6.811460
Loss : 6.777521
Loss : 6.843297
Loss : 6.784620
Loss : 6.590415
Loss : 6.702333
Loss : 6.657393
Loss : 6.584294
Loss : 6.845301
Loss : 6.735054
Loss : 6.742166
Loss : 6.854403
Loss : 6.729138
Loss : 6.696835
Loss : 6.740056
Loss : 6.781032
Loss : 6.897238
Loss : 6.812637
Loss : 6.767289
Loss : 6.891412
Loss : 6.662957
Loss : 6.769983
Loss : 6.526912
Loss : 6.643954
Loss : 6.690692
Loss : 6.776137
Loss : 6.696969
Loss : 6.895265
Loss : 6.930139
Loss : 6.302745
Loss : 6.547192
Loss : 6.869165
Loss : 6.679975
Loss : 6.873198
Loss : 6.807550
Loss : 6.671333
Loss : 6.656795
Loss : 6.714805
Loss : 6.743429
Loss : 6.427104
Loss : 6.362441
Loss : 5.755075
Loss : 5.997666
Loss : 6.300960
Loss : 6.503546
Loss : 6.387580
Loss : 6.224246
Loss : 6.392961
Loss : 6.371199
Loss : 6.668711
Loss : 6.487291
Loss : 6.733786
Loss : 6.648412
Loss : 6.719859
Loss : 6.592101
Loss : 6.662866
Loss : 6.826760
Loss : 6.549437
Loss : 6.653701
Loss : 6.665320
Loss : 6.851903
Loss : 6.793530
Loss : 6.774750
Loss : 6.846056
Loss : 6.825543
Loss : 6.852106
Loss : 6.659702
Loss : 6.786337
Loss : 6.834164
Loss : 6.756839
Loss : 6.743710
Loss : 6.576024
Loss : 6.404962
Loss : 6.514684
Loss : 6.687351
Loss : 6.660956
Loss : 6.911817
Loss : 6.736201
Loss : 6.702004
Loss : 6.883761
Loss : 6.520366
Loss : 6.851607
Loss : 6.719600
Loss : 6.710474
Loss : 6.789950
Loss : 6.919358
Loss : 6.830760
Loss : 6.923597
Loss : 6.848221
Loss : 6.496360
Loss : 6.875378
Loss : 6.892358
Loss : 6.665575
Loss : 6.332164
Loss : 6.478975
Loss : 6.311737
Loss : 6.636698
Loss : 6.337797
Loss : 6.800507
Loss : 6.537825
Loss : 6.745748
Loss : 6.712116
Loss : 6.457297
Loss : 6.196577
Loss : 6.916289
Loss : 6.619731
Loss : 6.560313
Loss : 6.832889
Loss : 6.895885
Loss : 6.743789
Loss : 6.792724
Loss : 6.704343
Loss : 6.465932
Loss : 6.738336
Loss : 6.352632
Loss : 6.753003
Loss : 6.325876
Loss : 6.795424
