loading...
preprocessing...
build training set...
Vocabulary size
71291

# of training samples
167188440

Time Elapsed for SubSampling 00:01:01

Training Set before Subsampling : 167188440
Number of discard : 50169814
Training Set after Subsampling : 117018626
Loss : 6.750191
Loss : 7.225007
Loss : 7.037750
Loss : 7.309761
Loss : 7.144136
Loss : 7.404575
Loss : 7.071581
Loss : 6.934336
Loss : 6.974663
Loss : 7.403092
Loss : 7.244453
Loss : 7.156422
Loss : 7.361620
Loss : 7.310241
Loss : 7.384738
Loss : 6.945243
Loss : 7.012011
Loss : 6.912813
Loss : 6.864133
Loss : 7.107387
Loss : 6.907296
Loss : 6.773020
Loss : 6.807152
Loss : 6.670523
Loss : 6.769672
Loss : 6.741995
Loss : 6.663484
Loss : 6.631483
Loss : 6.494320
Loss : 6.866400
Loss : 7.172764
Loss : 7.281665
Loss : 6.907351
Loss : 7.020429
Loss : 7.249811
Loss : 7.301818
Loss : 7.085884
Loss : 7.480410
Loss : 7.214036
Loss : 7.328895
Loss : 6.899909
Loss : 6.805913
Loss : 7.081799
Loss : 7.195051
Loss : 6.852741
Loss : 7.286307
Loss : 7.573235
Loss : 7.261803
Loss : 6.680034
Loss : 6.679137
Loss : 7.053546
Loss : 6.992713
Loss : 6.470818
Loss : 6.646725
Loss : 7.140495
Loss : 6.939526
Loss : 6.709172
Loss : 7.003441
Loss : 7.294330
Loss : 7.226614
Loss : 6.884306
Loss : 7.207597
Loss : 7.035846
Loss : 7.425154
Loss : 6.923005
Loss : 6.749076
Loss : 6.801802
Loss : 6.742369
Loss : 6.821257
Loss : 6.943636
Loss : 7.240337
Loss : 7.552066
Loss : 7.083029
Loss : 6.763566
Loss : 6.366045
Loss : 7.286837
Loss : 7.179598
Loss : 7.159289
Loss : 7.010382
Loss : 7.324378
Loss : 7.210940
Loss : 7.063206
Loss : 6.881412
Loss : 7.150508
Loss : 7.215295
Loss : 7.074370
Loss : 7.260438
Loss : 7.289531
Loss : 7.194816
Loss : 7.105808
Loss : 7.034533
Loss : 6.905451
Loss : 6.829870
Loss : 6.714812
Loss : 6.937462
Loss : 7.186436
Loss : 7.192427
Loss : 7.156316
Loss : 7.237537
Loss : 7.195103
Loss : 7.265380
Loss : 6.909163
Loss : 7.021103
Loss : 7.225388
Loss : 7.085646
Loss : 7.225261
Loss : 7.069322
Loss : 7.059639
Loss : 7.142640
Loss : 7.335546
Loss : 6.979917
Loss : 6.794505
Loss : 6.896202
Loss : 6.814365
Loss : 7.036062
Loss : 6.818606
Loss : 7.006108
Loss : 6.789936
Loss : 6.799433
Loss : 7.255932
Loss : 6.800120
Loss : 7.088157
Loss : 6.910535
Loss : 7.041470
Loss : 7.433680
Loss : 6.810407
Loss : 7.122184
Loss : 6.387531
Loss : 6.870372
Loss : 6.984935
Loss : 6.694265
Loss : 6.978948
Loss : 6.805889
Loss : 7.275862
Loss : 7.317998
Loss : 7.249359
Loss : 7.276272
Loss : 7.217937
Loss : 6.960104
Loss : 7.140839
Loss : 6.762226
Loss : 6.594667
Loss : 7.206364
Loss : 7.230783
Loss : 6.630169
Loss : 6.628748
Loss : 6.704130
Loss : 7.442752
Loss : 7.015465
Loss : 7.139060
Loss : 7.288658
Loss : 7.074213
Loss : 7.386735
Loss : 6.850333
Loss : 7.097207
Loss : 7.252979
Loss : 7.327049
Loss : 7.177010
Loss : 7.175345
Loss : 7.356928
Loss : 7.114897
Loss : 6.886045
Loss : 6.640960
Loss : 6.923574
Loss : 7.255884
Loss : 7.221283
Loss : 7.003826
Loss : 7.299945
Loss : 7.339363
Loss : 6.912807
Loss : 6.822677
Loss : 6.806677
Loss : 6.999290
Loss : 6.943770
Loss : 7.011676
Loss : 7.123284
Loss : 7.004764
Loss : 7.368433
Loss : 7.223160
Loss : 7.251676
Loss : 7.131498
Loss : 7.215739
Loss : 7.200969
Loss : 7.319788
Loss : 7.127004
Loss : 7.069311
Loss : 7.204027
Loss : 6.965387
Loss : 7.028082
Loss : 7.154643
Loss : 7.067323
Loss : 6.798649
Loss : 7.251457
Loss : 7.252558
Loss : 7.107526
Loss : 7.020142
Loss : 7.152566
Loss : 7.064681
Loss : 7.666841
Loss : 6.788280
Loss : 6.876754
Loss : 7.179778
Loss : 7.086606
Loss : 6.962633
Loss : 6.972785
Loss : 6.993586
Loss : 7.139755
Loss : 7.017806
Loss : 7.075283
Loss : 6.954897
Loss : 6.967678
Loss : 7.095817
Loss : 6.853367
Loss : 7.031310
Loss : 6.712202
Loss : 6.762072
Loss : 6.919671
Loss : 7.298068
Loss : 7.116658
Loss : 7.411549
Loss : 7.283974
Loss : 7.217768
Loss : 7.306659
Loss : 6.705283
Loss : 7.192819
Loss : 7.006107
Loss : 6.890119
Loss : 7.052637
Loss : 7.273209
Loss : 6.910307
Loss : 7.016475
Loss : 7.176366
Loss : 7.040677
Loss : 7.125116
Loss : 6.897831
Loss : 7.112043
Loss : 6.965924
Loss : 7.177256
Loss : 6.276827
Loss : 7.188534
Loss : 7.215572
Loss : 7.285041
Loss : 7.080378
Loss : 6.909834
Loss : 7.115614
Loss : 6.956780
Loss : 6.861225
Loss : 6.850226
Loss : 6.987323
Loss : 7.221012
Loss : 6.871115
Loss : 7.033135
Loss : 7.170230
Loss : 6.774294
Loss : 6.468879
Loss : 6.571144
Loss : 6.814246
Loss : 6.909863
Loss : 6.691199
Loss : 7.031235
Loss : 6.942585
Loss : 6.650123
Loss : 6.722497
Loss : 6.667654
Loss : 6.642380
Loss : 6.937607
Loss : 6.834883
Loss : 6.838113
Loss : 6.783185
Loss : 6.263831
Loss : 6.928273
Loss : 7.290153
Loss : 7.158560
Loss : 7.106709
Loss : 7.112999
Loss : 7.054615
Loss : 7.102211
Loss : 7.339970
Loss : 7.093870
Loss : 7.068369
Loss : 7.713445
Loss : 7.302760
Loss : 7.053859
Loss : 6.964825
Loss : 6.847624
Loss : 7.115692
Loss : 7.200872
Loss : 7.319561
Loss : 7.317164
Loss : 7.138900
Loss : 7.330814
Loss : 6.864736
Loss : 7.075972
Loss : 7.026028
Loss : 7.020711
Loss : 6.861509
Loss : 7.033091
Loss : 7.258950
Loss : 6.948368
Loss : 7.116221
Loss : 7.037846
Loss : 6.924698
Loss : 6.906328
Loss : 7.004966
Loss : 6.846271
Loss : 7.240554
Loss : 6.921174
Loss : 6.750206
Loss : 7.053855
Loss : 6.770188
Loss : 7.212135
Loss : 7.221360
Loss : 7.072178
Loss : 7.309413
Loss : 7.358950
Loss : 6.921844
Loss : 7.438950
Loss : 7.185116
Loss : 6.849660
Loss : 6.760839
Loss : 6.790162
Loss : 6.949688
Loss : 6.911407
Loss : 6.790370
Loss : 6.884065
Loss : 6.917541
Loss : 7.117168
Loss : 7.286959
Loss : 7.288600
Loss : 7.200730
Loss : 7.000702
Loss : 6.968754
Loss : 7.169686
Loss : 7.263410
Loss : 7.049453
Loss : 6.844165
Loss : 6.601191
Loss : 7.397511
Loss : 6.832570
Loss : 7.254630
Loss : 7.344139
Loss : 6.841147
Loss : 6.993797
Loss : 6.968200
Loss : 6.947883
Loss : 7.158395
Loss : 6.722815
Loss : 6.819076
Loss : 6.637448
Loss : 7.025723
Loss : 7.187027
Loss : 6.271857
Loss : 7.648086
Loss : 6.955388
Loss : 7.130398
Loss : 6.753346
Loss : 7.031967
Loss : 6.999544
Loss : 7.035989
Loss : 6.951301
Loss : 7.211360
Loss : 7.526346
Loss : 7.149435
Loss : 6.979807
Loss : 7.065180
Loss : 7.076541
Loss : 7.094031
Loss : 7.356577
Loss : 7.031051
Loss : 7.195886
Loss : 7.262012
Loss : 6.641340
Loss : 6.067704
Loss : 6.918702
Loss : 7.076742
Loss : 7.280076
Loss : 7.288278
Loss : 7.188737
Loss : 7.200982
Loss : 6.969412
Loss : 6.947908
Loss : 6.691471
Loss : 6.082648
Loss : 6.816569
Loss : 6.965557
Loss : 7.259672
Loss : 7.197470
Loss : 6.992738
Loss : 7.084447
Loss : 6.983051
Loss : 6.942066
Loss : 6.935788
Loss : 7.075799
Loss : 7.293816
Loss : 7.212852
Loss : 6.874467
Loss : 6.495408
Loss : 6.942380
Loss : 7.071146
