loading...
preprocessing...
build training set...
Vocabulary size
71291

# of training samples
167188440
Loss : 3.128363
Loss : 3.296105
Loss : 3.193706
Loss : 3.360583
Loss : 3.187984
Loss : 3.008345
Loss : 3.198103
Loss : 3.136346
Loss : 3.346811
Loss : 3.062636
Loss : 3.370703
Loss : 3.076871
Loss : 3.341520
Loss : 3.175567
Loss : 3.201410
Loss : 3.152110
Loss : 3.210915
Loss : 3.213759
Loss : 3.065914
Loss : 3.042134
Loss : 3.285989
Loss : 3.409217
Loss : 3.428080
Loss : 3.278793
Loss : 3.191662
Loss : 3.366898
Loss : 3.178318
Loss : 3.275221
Loss : 3.400384
Loss : 3.378915
Loss : 3.241744
Loss : 3.380164
Loss : 3.219101
Loss : 2.933325
Loss : 3.412878
Loss : 3.343317
Loss : 3.181609
Loss : 3.294917
Loss : 3.372229
Loss : 3.203449
Loss : 3.203640
Loss : 3.082481
Loss : 3.243909
Loss : 2.738027
Loss : 3.027941
Loss : 3.166292
Loss : 3.286514
Loss : 3.202030
Loss : 3.140036
Loss : 3.127514
Loss : 3.287329
Loss : 3.273528
Loss : 2.832269
Loss : 3.352743
Loss : 3.202208
Loss : 3.162056
Loss : 3.285013
Loss : 2.993379
Loss : 3.282174
Loss : 3.323561
Loss : 3.310005
Loss : 3.012093
Loss : 3.197490
Loss : 3.176656
Loss : 3.317833
Loss : 3.279048
Loss : 3.365197
Loss : 3.293657
Loss : 3.284526
Loss : 3.254539
Loss : 3.371163
Loss : 3.427898
Loss : 3.078437
Loss : 3.337667
Loss : 3.462002
Loss : 3.293184
Loss : 3.128818
Loss : 2.971980
Loss : 3.164829
Loss : 3.328370
Loss : 3.333048
Loss : 3.225174
Loss : 3.088491
Loss : 3.268938
Loss : 3.228067
Loss : 3.275738
Loss : 3.358811
Loss : 3.395183
Loss : 3.350289
Loss : 3.309601
Loss : 3.338721
Loss : 3.343550
Loss : 3.333973
Loss : 3.016343
Loss : 3.169713
Loss : 3.309877
Loss : 3.322983
Loss : 3.176744
Loss : 2.935775
Loss : 3.265228
Loss : 3.181023
Loss : 3.091978
Loss : 3.224561
Loss : 3.193242
Loss : 3.238043
Loss : 2.896697
Loss : 2.952487
Loss : 3.135067
Loss : 3.222005
Loss : 3.346168
Loss : 3.273375
Loss : 3.189847
Loss : 3.399883
Loss : 3.235778
Loss : 3.267428
Loss : 3.354092
Loss : 3.365253
Loss : 3.286791
Loss : 3.344531
Loss : 3.131796
Loss : 3.268554
Loss : 3.312415
Loss : 3.378645
Loss : 3.223177
Loss : 3.260959
Loss : 3.204741
Loss : 3.422124
Loss : 3.264464
Loss : 3.216581
Loss : 3.048977
Loss : 3.228489
Loss : 3.255706
Loss : 3.102686
Loss : 3.332162
Loss : 3.213290
Loss : 3.126060
Loss : 3.414736
Loss : 3.139418
Loss : 3.214489
Loss : 3.100622
Loss : 3.152683
Loss : 3.357726
Loss : 3.240236
Loss : 3.170890
Loss : 3.306259
Loss : 3.197696
Loss : 3.248141
Loss : 3.225992
Loss : 3.384918
Loss : 3.248600
Loss : 2.853438
Loss : 3.281390
Loss : 3.278735
Loss : 3.172010
Loss : 3.069544
Loss : 3.175695
Loss : 3.199081
Loss : 3.093067
Loss : 3.027671
Loss : 3.014934
Loss : 2.995554
Loss : 2.993032
Loss : 2.825761
Loss : 2.798300
Loss : 2.971767
Loss : 2.926159
Loss : 2.891534
Loss : 2.653049
Loss : 2.888297
Loss : 2.687845
Loss : 2.778787
Loss : 3.274591
Loss : 3.134859
Loss : 3.358353
Loss : 3.277581
Loss : 3.131367
Loss : 3.143475
Loss : 3.343513
Loss : 3.317522
Loss : 3.309524
Loss : 3.196976
Loss : 3.176544
Loss : 3.274545
Loss : 3.156458
Loss : 3.311913
Loss : 3.285691
Loss : 3.097576
Loss : 3.133375
Loss : 2.916187
Loss : 3.326535
Loss : 3.272949
Loss : 3.211130
Loss : 2.805643
Loss : 3.320355
Loss : 3.392694
Loss : 3.378839
Loss : 3.266284
Loss : 3.113843
Loss : 2.819034
Loss : 2.866018
Loss : 3.021867
Loss : 3.312210
Loss : 3.173325
Loss : 3.224280
Loss : 2.326177
Loss : 2.924468
Loss : 3.086037
Loss : 3.101896
Loss : 3.164256
Loss : 3.107589
Loss : 3.036011
Loss : 3.101065
Loss : 3.349736
Loss : 3.268751
Loss : 3.247558
Loss : 3.096358
Loss : 3.252462
Loss : 3.113080
Loss : 3.188866
Loss : 3.168128
Loss : 3.163188
Loss : 2.987975
Loss : 3.030764
Loss : 3.047823
Loss : 3.035810
Loss : 2.916671
Loss : 3.240042
Loss : 3.047673
Loss : 3.075508
Loss : 3.353269
Loss : 3.346881
Loss : 3.238434
Loss : 3.185011
Loss : 3.106284
Loss : 2.972154
Loss : 2.581532
Loss : 3.104625
Loss : 3.288037
Loss : 3.325358
Loss : 3.240492
Loss : 3.131309
Loss : 2.975253
Loss : 3.334021
Loss : 3.304881
Loss : 3.295037
Loss : 3.252903
Loss : 3.100549
Loss : 3.137159
Loss : 3.264189
Loss : 3.204173
Loss : 3.212272
Loss : 3.118724
Loss : 3.199725
Loss : 3.316777
Loss : 3.188353
Loss : 3.047078
Loss : 3.198111
Loss : 3.306771
Loss : 3.197072
Loss : 3.071364
Loss : 3.253984
Loss : 3.002619
Loss : 2.915233
Loss : 3.063716
Loss : 3.282933
Loss : 3.255718
Loss : 3.139586
Loss : 3.260927
Loss : 3.193932
Loss : 3.288195
Loss : 3.232988
Loss : 3.149388
Loss : 3.224979
Loss : 3.224030
Loss : 3.144382
Loss : 3.032220
Loss : 3.372208
Loss : 3.158753
Loss : 3.026999
Loss : 3.297053
Loss : 3.159642
Loss : 3.249439
Loss : 3.328004
Loss : 3.206082
Loss : 3.213680
Loss : 3.308412
Loss : 3.125543
Loss : 3.173104
Loss : 2.955386
Loss : 3.154920
Loss : 3.157942
Loss : 3.212421
Loss : 3.058753
Loss : 2.802201
Loss : 3.014750
Loss : 3.185914
Loss : 3.068952
Loss : 3.021276
Loss : 3.110970
Loss : 3.171348
Loss : 3.174547
Loss : 2.968721
Loss : 2.931365
Loss : 3.276906
Loss : 3.139861
Loss : 3.163773
Loss : 3.251468
Loss : 3.388838
Loss : 3.077265
Loss : 3.030118
Loss : 3.143068
Loss : 2.690580
Loss : 2.961847
Loss : 2.920761
Loss : 2.932105
Loss : 2.758198
Loss : 2.899573
Loss : 3.094314
Loss : 3.034857
Loss : 3.109274
Loss : 3.322759
Loss : 3.260933
Loss : 3.107476
Loss : 3.355774
Loss : 3.037633
Loss : 3.273684
Loss : 3.257690
Loss : 3.125942
Loss : 3.277465
Loss : 3.156551
Loss : 2.961674
Loss : 2.884805
Loss : 3.300516
Loss : 3.279291
Loss : 3.295288
Loss : 2.696769
Loss : 3.181122
Loss : 2.913106
Loss : 2.710701
Loss : 3.203154
Loss : 3.282100
Loss : 3.248351
Loss : 3.197904
Loss : 3.264265
Loss : 3.329786
Loss : 3.269460
Loss : 3.151050
Loss : 3.065367
Loss : 2.709132
Loss : 3.225069
Loss : 3.229660
Loss : 3.172165
Loss : 3.319845
Loss : 3.349955
Loss : 3.236504
Loss : 3.094349
Loss : 3.350023
Loss : 3.332326
Loss : 3.333757
Loss : 2.979824
Loss : 3.239368
Loss : 2.930991
Loss : 3.164086
Loss : 3.203207
Loss : 3.148375
Loss : 3.218619
Loss : 3.394428
Loss : 3.103214
Loss : 3.158442
Loss : 3.214588
Loss : 3.163861
Loss : 3.194209
Loss : 3.079354
Loss : 3.092287
Loss : 3.035382
Loss : 3.170834
Loss : 3.195039
Loss : 2.908781
Loss : 3.212816
Loss : 3.171477
Loss : 3.268528
Loss : 3.119869
Loss : 3.246350
Loss : 3.108897
Loss : 3.246696
Loss : 3.332078
Loss : 3.208965
Loss : 3.229024
Loss : 3.328597
Loss : 3.262533
Loss : 3.218375
Loss : 3.237845
Loss : 3.287325
Loss : 3.348476
Loss : 3.087120
Loss : 3.278464
Loss : 3.301018
Loss : 3.128356
Loss : 3.252237
Loss : 3.170396
Loss : 3.098738
Loss : 3.243142
Loss : 3.164456
Loss : 2.939143
Loss : 3.253738
Loss : 3.166071
Loss : 3.360323
Loss : 3.291612
Loss : 3.176653
Loss : 3.134680
Loss : 3.308830
Loss : 3.241048
Loss : 3.389387
Loss : 3.112076
Loss : 3.172773
Loss : 3.189689
Loss : 3.197978
Loss : 3.045735
Loss : 3.217571
Loss : 3.193546
Loss : 3.275162
Loss : 3.140715
Loss : 3.344339
Loss : 2.800237
Loss : 3.284813
Loss : 3.094707
Loss : 3.246107
Loss : 3.123442
Loss : 3.169996
Loss : 3.168524
Loss : 3.238928
Loss : 3.171821
Loss : 3.174587
Loss : 3.105507
