loading...
preprocessing...
build training set...
Vocabulary size
71291

# of training samples
167188440

Loss : 7.492869
Loss : 7.495596
Loss : 7.253023
Loss : 7.062716
Loss : 7.095294
Loss : 7.138632
Loss : 6.894150
Loss : 6.892610
Loss : 7.294495
Loss : 7.321766
Loss : 6.943460
Loss : 7.068331
Loss : 6.816129
Loss : 7.036278
Loss : 7.115237
Loss : 7.340597
Loss : 7.036704
Loss : 7.101008
Loss : 6.930081
Loss : 7.026171
Loss : 6.900407
Loss : 7.207498
Loss : 7.178082
Loss : 6.613693
Loss : 7.139001
Loss : 6.998699
Loss : 6.910477
Loss : 6.939376
Loss : 7.311585
Loss : 7.317563
Loss : 6.906137
Loss : 7.174894
Loss : 7.007902
Loss : 6.839085
Loss : 7.050406
Loss : 6.677650
Loss : 7.028514
Loss : 7.468514
Loss : 6.531287
Loss : 6.989030
Loss : 6.659826
Loss : 7.305123
Loss : 6.739913
Loss : 6.837635
Loss : 6.883221
Loss : 6.873543
Loss : 7.914262
Loss : 6.923998
Loss : 6.923510
Loss : 6.831324
Loss : 6.906732
Loss : 7.064558
Loss : 6.997858
Loss : 7.100752
Loss : 7.242283
Loss : 7.158762
Loss : 6.757977
Loss : 6.882236
Loss : 6.847284
Loss : 6.611860
Loss : 6.523741
Loss : 6.738002
Loss : 7.269778
Loss : 7.003616
Loss : 7.064390
Loss : 6.892362
Loss : 7.236052
Loss : 7.357107
Loss : 7.376372
Loss : 7.164712
Loss : 7.008704
Loss : 7.253695
Loss : 7.025734
Loss : 7.152758
Loss : 6.887741
Loss : 6.987266
Loss : 7.155899
Loss : 6.987027
Loss : 6.996130
Loss : 6.930961
Loss : 6.760890
Loss : 7.092017
Loss : 7.400153
Loss : 6.881409
Loss : 7.534887
Loss : 7.327184
Loss : 7.015806
Loss : 6.829278
Loss : 6.976691
Loss : 6.669669
Loss : 6.851453
Loss : 6.805281
Loss : 6.810113
Loss : 6.991707
Loss : 7.311643
Loss : 6.834378
Loss : 7.200535
Loss : 7.150257
Loss : 7.116219
Loss : 7.162190
Loss : 7.409374
Loss : 6.917925
Loss : 6.487457
Loss : 7.079446
Loss : 6.919644
Loss : 6.833786
Loss : 6.271165
Loss : 6.027396
Loss : 6.711207
Loss : 6.494971
Loss : 6.929486
Loss : 7.280303
Loss : 7.073795
Loss : 6.647733
Loss : 7.255793
Loss : 7.144743
Loss : 7.152122
Loss : 6.949345
Loss : 6.975802
Loss : 6.936482
Loss : 6.812626
Loss : 6.430604
Loss : 6.943054
Loss : 6.659857
Loss : 7.065808
Loss : 7.037690
Loss : 6.872075
Loss : 6.637518
Loss : 7.238089
Loss : 7.054353
Loss : 7.290914
Loss : 6.721798
Loss : 7.164619
Loss : 7.278831
Loss : 7.043358
Loss : 7.084678
Loss : 6.956526
Loss : 7.072480
Loss : 6.637571
Loss : 7.046719
Loss : 6.807250
Loss : 6.946153
Loss : 6.964123
Loss : 7.045426
Loss : 6.565864
Loss : 6.629700
Loss : 6.747512
Loss : 7.028068
Loss : 6.930207
Loss : 6.718148
Loss : 6.419678
Loss : 6.907129
Loss : 7.366137
Loss : 7.106800
Loss : 7.188173
Loss : 6.796235
Loss : 7.242328
Loss : 6.436713
Loss : 6.659822
Loss : 7.180226
Loss : 6.825707
Loss : 7.036937
Loss : 7.186969
Loss : 7.218589
Loss : 7.160210
Loss : 7.115261
Loss : 7.111301
Loss : 7.199231
Loss : 7.232179
Loss : 6.804634
Loss : 6.683747
Loss : 6.785204
Loss : 6.994374
Loss : 6.800593
Loss : 6.927912
Loss : 6.552726
Loss : 6.665963
Loss : 7.085328
Loss : 6.729207
Loss : 6.761434
Loss : 6.874013
Loss : 6.581890
Loss : 6.468719
Loss : 6.392211
Loss : 6.056036
Loss : 6.159246
Loss : 6.531399
Loss : 7.292770
Loss : 7.383442
Loss : 6.356588
Loss : 7.121374
Loss : 7.360530
Loss : 6.947290
Loss : 7.006083
Loss : 6.830846
Loss : 6.779144
Loss : 6.753404
Loss : 6.278633
Loss : 6.725587
Loss : 6.764383
Loss : 6.453331
Loss : 6.556863
Loss : 5.889227
Loss : 6.661329
Loss : 6.507578
Loss : 6.952283
Loss : 6.950431
Loss : 6.924186
Loss : 6.581963
Loss : 6.441222
Loss : 6.559995
Loss : 6.961760
Loss : 6.618981
Loss : 6.270496
Loss : 7.090026
Loss : 6.924345
Loss : 6.930342
Loss : 6.803262
Loss : 6.821129
Loss : 6.855705
Loss : 6.646514
Loss : 6.554864
Loss : 6.782995
Loss : 6.751704
Loss : 7.007435
Loss : 6.230831
Loss : 7.218777
Loss : 6.996631
Loss : 7.291870
Loss : 6.976495
Loss : 6.012378
Loss : 7.282305
Loss : 7.015484
Loss : 6.756196
Loss : 6.722090
Loss : 6.744050
Loss : 6.965166
Loss : 7.113321
Loss : 7.119168
Loss : 6.951970
Loss : 7.106210
Loss : 7.252613
Loss : 7.256502
Loss : 7.082495
Loss : 6.873446
Loss : 6.815138
Loss : 7.221421
Loss : 6.948556
Loss : 7.233992
Loss : 6.864557
Loss : 7.337659
Loss : 6.813959
Loss : 6.823912
Loss : 6.344387
Loss : 6.258931
Loss : 6.812948
Loss : 6.534607
Loss : 7.015498
Loss : 6.981038
Loss : 6.568095
Loss : 6.904476
Loss : 6.932382
Loss : 7.148346
Loss : 6.756704
Loss : 6.740835
Loss : 7.031550
Loss : 6.963868
Loss : 7.302582
Loss : 7.181919
Loss : 6.845227
Loss : 7.037855
Loss : 5.251055
Loss : 6.676417
Loss : 6.853170
Loss : 7.094496
Loss : 6.859220
Loss : 6.893881
Loss : 7.170095
Loss : 7.247057
Loss : 5.546272
Loss : 6.974137
Loss : 6.785121
Loss : 6.832397
Loss : 7.148639
Loss : 6.959984
Loss : 6.807887
Loss : 5.655100
Loss : 6.713857
